osm_id,name,category,risk_tier,risk_label,longitude,latitude
1257625451,Unnamed,building,1.0,Low,3.2678277,6.4504821
1257386360,Unnamed,building,4.0,Very High,3.2708507,6.4408108
1257999156,Unnamed,building,4.0,Very High,3.2601248,6.47382
1257572526,Unnamed,building,3.0,High,3.2844941,6.483136
1263682579,Unnamed,building,3.0,High,3.2768252,6.4974773
1257844883,Unnamed,building,2.0,Moderate,3.2876111,6.48136
1258327363,Unnamed,building,3.0,High,3.2591677,6.4594691
1271990351,Unnamed,building,0.0,NoData,3.2774057,6.5207283
1267900119,Unnamed,building,1.0,Low,3.2875954,6.4642037
1257593018,Unnamed,building,4.0,Very High,3.2529483,6.4582853
1276439718,Unnamed,building,4.0,Very High,3.2955547,6.4850775
1263644144,Unnamed,building,3.0,High,3.2362974,6.5205845
1257765108,Unnamed,building,3.0,High,3.3090553,6.4487724
1258165080,Unnamed,building,4.0,Very High,3.3146351,6.4443842
1275719084,Unnamed,building,2.0,Moderate,3.2927352,6.5174918
1257794159,Unnamed,building,4.0,Very High,3.2713979,6.4661587
1258509844,Unnamed,building,3.0,High,3.2763565,6.431177
1277832319,Unnamed,building,3.0,High,3.292981,6.5077337
1263539378,Unnamed,building,2.0,Moderate,3.2594746,6.4875926
1258581481,Unnamed,building,2.0,Moderate,3.2331956,6.4412996
1257939383,Unnamed,building,4.0,Very High,3.2948296,6.4804192
1260760447,Unnamed,building,2.0,Moderate,3.230621,6.5161473
617766818,Unnamed,building,4.0,Very High,3.282368,6.4156252
995240988,Unnamed,building,3.0,High,3.3248638,6.4167346
1257470309,Unnamed,building,1.0,Low,3.2805414,6.4345527
1258596110,Unnamed,building,3.0,High,3.2768788,6.4698633
1259174287,Unnamed,building,3.0,High,3.2560879,6.5199414
1261797352,Unnamed,building,4.0,Very High,3.2257939,6.5063404
1259329772,Unnamed,building,2.0,Moderate,3.2729622,6.4998062
1263176379,Unnamed,building,3.0,High,3.2499898,6.5066392
1257556423,Unnamed,building,3.0,High,3.2559688,6.469082
1257911914,Unnamed,building,3.0,High,3.2572861,6.4673822
1275283024,Unnamed,building,0.0,NoData,3.3091833,6.5274673
1258547673,Unnamed,building,4.0,Very High,3.285937,6.4566368
1275664232,Unnamed,building,3.0,High,3.3066456,6.5198302
1257493283,Unnamed,building,4.0,Very High,3.2587114,6.4412077
1257817305,Unnamed,building,4.0,Very High,3.3027549,6.4675827
1258304677,Unnamed,building,4.0,Very High,3.301083,6.45782
1262504143,Unnamed,building,4.0,Very High,3.2661403,6.5210282
1257751010,Unnamed,building,4.0,Very High,3.2595707,6.4449706
1263154800,Unnamed,building,0.0,NoData,3.2610981,6.5218029
1257471896,Unnamed,building,3.0,High,3.2669142,6.4412796
1275886069,Unnamed,building,0.0,NoData,3.3080408,6.5091838
1263457264,Unnamed,building,3.0,High,3.2747763,6.5218924
1258172837,Unnamed,building,4.0,Very High,3.3070522,6.4490825
825210653,Unnamed,building,3.0,High,3.2563458,6.5006288
1267619361,Unnamed,building,3.0,High,3.2121585,6.4539039
1267718755,Unnamed,building,3.0,High,3.2271231,6.4503622
1263114285,Unnamed,building,3.0,High,3.276349,6.5099908
1260550605,Unnamed,building,3.0,High,3.2452952,6.5004856
1262852131,Unnamed,building,3.0,High,3.2670501,6.4987931
1276411914,Unnamed,building,4.0,Very High,3.3018441,6.4968972
1258026263,Unnamed,building,4.0,Very High,3.2923037,6.4638805
1258523463,Unnamed,building,0.0,NoData,3.265035,6.4062247
1276430067,Unnamed,building,4.0,Very High,3.2982658,6.4900064
1262184677,Unnamed,building,3.0,High,3.2861588,6.5080555
1258426555,Unnamed,building,4.0,Very High,3.2620305,6.4592778
1262523421,Unnamed,building,0.0,NoData,3.2703377,6.5225218
1258690118,Unnamed,building,3.0,High,3.2715768,6.4564945
1258823278,Unnamed,building,2.0,Moderate,3.2625857,6.4158693
1257980818,Unnamed,building,3.0,High,3.2552308,6.4644633
1263732208,Unnamed,building,4.0,Very High,3.2743483,6.4986898
1257419421,Unnamed,building,4.0,Very High,3.2616806,6.4401163
